cl_id	sub_id	persistence
SK-MEL-2	500 Pa Coll	33.5
SK-MEL-2	500 Pa FN	38.7
SK-MEL-2	30 kPa Coll	37.7
SK-MEL-2	30 kPa FN	14.2
SK-MEL-2	HA Coll	23.7
SK-MEL-2	HA FN	27.4
SK-MEL-2	Glass	10.4
A375	500 Pa Coll	21.2
A375	500 Pa FN	17.8
A375	30 kPa Coll	18.4
A375	30 kPa FN	20
A375	HA Coll	15.7
A375	HA FN	18.6
A375	Glass	16.8
WM266-4	500 Pa Coll	9.5
WM266-4	500 Pa FN	9.3
WM266-4	30 kPa Coll	9.6
WM266-4	30 kPa FN	9.1
WM266-4	HA Coll	12.8
WM266-4	HA FN	13.2
WM266-4	Glass	17.7
MeWo	500 Pa Coll	9.8
MeWo	500 Pa FN	8.3
MeWo	30 kPa Coll	9.7
MeWo	30 kPa FN	9.1
MeWo	HA Coll	9.2
MeWo	HA FN	9.2
MeWo	Glass	9.1
RWPE-1	500 Pa Coll	113.2
RWPE-1	500 Pa FN	30.4
RWPE-1	30 kPa Coll	120
RWPE-1	30 kPa FN	72.3
RWPE-1	HA Coll	8.1
RWPE-1	HA FN	53
RWPE-1	Glass	8.7
22Rv1	500 Pa Coll	13.8
22Rv1	500 Pa FN	19.7
22Rv1	30 kPa Coll	13.8
22Rv1	30 kPa FN	17.1
22Rv1	HA Coll	20.2
22Rv1	HA FN	13.7
22Rv1	Glass	17.4
LnCaP	500 Pa Coll	15.2
LnCaP	500 Pa FN	22.6
LnCaP	30 kPa Coll	18.8
LnCaP	30 kPa FN	24.3
LnCaP	HA Coll	18.4
LnCaP	HA FN	24.7
LnCaP	Glass	19.2
DU145	500 Pa Coll	11.1
DU145	500 Pa FN	11.6
DU145	30 kPa Coll	12.1
DU145	HA Coll	11.1
DU145	HA FN	25.9
DU145	Glass	9.4
PC-3	500 Pa FN	28.7
PC-3	Glass	25.8
hTERT-HPNE	500 Pa Coll	120
hTERT-HPNE	500 Pa FN	120
hTERT-HPNE	30 kPa Coll	115.7
hTERT-HPNE	30 kPa FN	109.4
hTERT-HPNE	HA Coll	24.3
hTERT-HPNE	HA FN	120
hTERT-HPNE	Glass	91.8
Panc-1	500 Pa Coll	17.7
Panc-1	30 kPa Coll	10
Panc-1	30 kPa FN	60
Panc-1	HA Coll	12.9
Panc-1	HA FN	50.7
Panc-1	Glass	17.7
Capan-1	500 Pa Coll	12
Capan-1	30 kPa Coll	11.2
Capan-1	30 kPa FN	9
Capan-1	HA Coll	9.9
Capan-1	HA FN	9.4
Capan-1	Glass	9.7
SKOV-3	500 Pa Coll	9.4
SKOV-3	500 Pa FN	44.6
SKOV-3	30 kPa Coll	21.9
SKOV-3	30 kPa FN	37.2
SKOV-3	HA Coll	11.9
SKOV-3	HA FN	9.6
SKOV-3	Glass	62.1
OVCAR-3	500 Pa Coll	11
OVCAR-3	500 Pa FN	10.9
OVCAR-3	30 kPa Coll	10.2
OVCAR-3	30 kPa FN	19.8
OVCAR-3	HA Coll	17.6
OVCAR-3	HA FN	27.3
OVCAR-3	Glass	14.7
NL20	500 Pa Coll	91
NL20	500 Pa FN	49
NL20	30 kPa Coll	25.4
NL20	30 kPa FN	50
NL20	HA Coll	29.3
NL20	HA FN	52.3
NL20	Glass	24
NCI-H2126	500 Pa Coll	11
NCI-H2126	500 Pa FN	11
NCI-H2126	30 kPa Coll	10.8
NCI-H2126	30 kPa FN	13.3
NCI-H2126	HA Coll	11.4
NCI-H2126	HA FN	12.6
NCI-H2126	Glass	11.5
NCI-H2087	500 Pa Coll	9.4
NCI-H2087	500 Pa FN	9.6
NCI-H2087	30 kPa Coll	8.7
NCI-H2087	30 kPa FN	9.1
NCI-H2087	HA Coll	9.8
NCI-H2087	HA FN	9.4
NCI-H2087	Glass	9.8
HCT116	500 Pa Coll	8.6
HCT116	30 kPa Coll	9
HCT116	30 kPa FN	8.5
HCT116	HA Coll	8.5
HCT116	Glass	8.4
HT29	500 Pa Coll	62.8
HT29	30 kPa Coll	53.6
HT29	30 kPa FN	81.3
HT29	HA Coll	9.8
HT29	HA FN	11.2
HT29	Glass	24.6
SW480	500 Pa Coll	17.8
SW480	500 Pa FN	33.7
SW480	30 kPa Coll	8.3
SW480	30 kPa FN	13.5
SW480	HA Coll	18.3
SW480	HA FN	10.1
SW620	500 Pa Coll	9
SW620	500 Pa FN	8.7
SW620	30 kPa Coll	9.3
SW620	30 kPa FN	8.9
SW620	HA Coll	9.7
SW620	HA FN	9.4
SW620	Glass	9.4
hTERT-HME1	500 Pa Coll	38
hTERT-HME1	500 Pa FN	8.7
hTERT-HME1	30 kPa Coll	29.2
hTERT-HME1	30 kPa FN	19.4
hTERT-HME1	HA FN	8.8
hTERT-HME1	Glass	9.7
MCF10A-JSB	500 Pa Coll	18.7
MCF10A-JSB	500 Pa FN	9.2
MCF10A-JSB	30 kPa Coll	23.3
MCF10A-JSB	30 kPa FN	27
MCF10A-JSB	HA Coll	9.3
MCF10A-JSB	HA FN	8.8
MCF10A-JSB	Glass	9.4
T-47D	500 Pa Coll	28.4
T-47D	500 Pa FN	15.9
T-47D	30 kPa Coll	10.2
T-47D	30 kPa FN	25.2
T-47D	HA Coll	79.2
T-47D	HA FN	14.3
MCF7	500 Pa Coll	9.3
MCF7	HA Coll	9.6
MCF7	HA FN	9.2
MCF7	Glass	9
MDA-MB-231	500 Pa Coll	9.2
MDA-MB-231	500 Pa FN	9.3
MDA-MB-231	30 kPa Coll	9.9
MDA-MB-231	30 kPa FN	10
MDA-MB-231	HA FN	10
MDA-MB-231	Glass	9
HCC1937	500 Pa Coll	14.8
HCC1937	500 Pa FN	9.9
HCC1937	30 kPa Coll	14
HCC1937	30 kPa FN	12.8
HCC1937	HA Coll	19
HCC1937	HA FN	11.5
HCC1937	Glass	16
U-87	500 Pa Coll	20.7
U-87	500 Pa FN	24.8
U-87	30 kPa Coll	23.6
U-87	30 kPa FN	22.7
U-87	HA Coll	40.9
U-87	HA FN	28
U-87	Glass	29.2
T98G	500 Pa Coll	25.4
T98G	500 Pa FN	25.2
T98G	30 kPa Coll	35.9
T98G	30 kPa FN	44.3
T98G	HA Coll	28.6
T98G	HA FN	33.3
T98G	Glass	50.5
